User,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Output1,Output2,Feature10,Feature11
1719,0.06136363636363636,626.2305,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1720,0.0,626.2299166666668,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1721,0.024705882352941178,626.16925,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1722,0.07724137931034483,626.1284166666667,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1723,0.08358208955223881,626.0718333333335,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1724,0.04097560975609756,626.0525833333334,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1725,0.0,625.9971666666667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1726,0.04468085106382979,625.94525,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1727,0.03206106870229008,625.8489999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1728,0.02441860465116279,625.7778333333333,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1729,0.04097560975609756,625.7597499999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1730,0.075,625.7469166666666,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1731,0.014093959731543624,625.7375833333333,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1732,0.024705882352941178,625.73,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1733,0.032984293193717276,625.6471666666665,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1734,0.012,625.5911666666668,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1735,0.06136363636363636,625.5859166666669,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1736,0.04097560975609756,625.57775,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1737,0.10500000000000001,625.5427500000001,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1738,0.075,625.4908333333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1739,0.075,625.4885,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1740,0.04242424242424243,625.4295833333334,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1741,0.04097560975609756,625.39925,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1742,0.05600000000000001,625.3951666666666,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1743,0.08358208955223881,0.5500833333333334,4.2,136.5,0.0,1.0,0.161,0.0,0.0,1.0,0.0,1.0,0.0
1744,0.03620689655172414,625.3263333333333,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1745,0.045161290322580656,625.3222499999999,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1746,0.0,625.317,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1747,0.15272727272727274,0.4818333333333334,2.1,63.0,1.0,1.0,0.161,0.0,0.0,1.0,0.0,1.0,0.0
1748,0.04242424242424243,624.9903333333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1749,0.00967741935483871,624.9209166666667,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1750,0.075,624.9133333333335,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1751,0.05600000000000001,624.8439166666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1752,0.00967741935483871,0.063,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1753,0.048025467849243865,624.6280833333335,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1754,0.03800904977375566,624.58725,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1755,0.07724137931034483,624.5335833333334,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1756,0.04468085106382979,624.3638333333334,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1757,0.08076923076923077,624.26875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1758,0.032984293193717276,624.1415833333335,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1759,0.06136363636363636,624.0488333333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1760,0.11052631578947368,623.7659166666667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1761,0.04097560975609756,623.7175,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1762,0.04057971014492753,623.4445000000001,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1763,0.07724137931034483,623.3336666666669,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1764,0.04097560975609756,181.77483333333336,16.8,70.875,1.0,1.0,0.19308333333333333,0.0,0.0,1.0,0.0,1.0,0.0
1765,0.08076923076923077,623.2181666666669,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1766,0.04468085106382979,622.9895,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1767,0.07724137931034483,622.75675,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1768,0.02441860465116279,622.1716666666667,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1769,0.00967741935483871,621.649,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1770,0.07724137931034483,621.4115833333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1771,0.04097560975609756,619.3139166666667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1772,0.03800904977375566,616.4042499999999,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1773,0.03206106870229008,614.7989166666667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1774,0.06136363636363636,614.3911666666667,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1775,0.02441860465116279,613.75125,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1776,0.08358208955223881,612.8838333333333,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1777,0.014093959731543624,611.5310833333335,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1778,0.014093959731543624,30.6915,8.4,89.25,1.0,1.0,0.84875,0.0,0.0,1.0,0.0,1.0,0.0
1779,0.08358208955223881,610.60825,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1780,0.00967741935483871,58.75275,14.700000000000001,103.97872340425532,1.0,1.0,3.76425,0.3616666666666667,0.0,1.0,0.0,1.0,1.0
1781,0.03800904977375566,610.1590833333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
